Asunto;Radicado;Serie Documental;Sub-Serie documental;
INVITACI&OacuteN VISITA RELLENO SANITARIO  LA MIEL - DIA: MARTES 30 DE MAYO DE 2023 HORA: 8:00 AM LUGAR: ENTRADA RELLENO SANITARIO -SECRETARIA AMBIENTE Y GESTION DEL RIESGODESPACHO. ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
INCUMPLIMIENTO DE RITUALIDAES Y NORMATIVIDAD VIGENTE - IMPOSICION DE SANCIONES ADMINISTRATIVAS Y POLICIVAS COMO CONSECUENCIA DE OTORGAMIENTO DEL PERMISO DEL CONCIERTO DE NICO HERNANDEZ EN LAS INSTALACIONES DE TEREQUE BAR CENTRO DE EVENTOS SAS KILOMETRO 1 MIROLINDO CONTIGUO A CONTAINER CITY. - A PETICION JOSE FABIAN GARZON ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
 IMPLEMENTACI&OacuteN DE MEDIDAS DE PROTECCI&OacuteN AL SE&NtildeOR JHON JAIRO HUEJES ALCALDE DE PLANADAS - UNIDAD NACIONAL DE PROTECCION  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RED DE VEEDURIAS AGUA PARA IBAGU&Eacute-ASUNTO: CANTIDAD DE VEEDURIAS CON RESOLUCION DE LA CIUDAD DE IBAGUE- EUSEBIO ALVAREZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DERECHO DE PETICI&OacuteN-DEL SR LUIS CARLOS GALEANO  ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
MESA DE TRABAJO EXPORACION DE PACTO DE CUMPLIMIENTO 73001-23-33-000-2022-00002-00- DIA JUEVES 25 DE MAYO DEL 2023- HORA 2:00PM- 4:00PM - MICROSOFT TEAMS - PROCURADURIA  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
RAD-2023EE0082691 TRASLADO DE LA SOLICITUD CUN 2023-271233-80734-NC-CONTRALORIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RESPUESTA NOTIFICACI&OacuteN ACCI&OacuteN DE TUTELA 2023-00102-LIMPIZA INNSTITUCIONAL LASU S.A.S ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DERECHO DE PETICI&OacuteN-RECONEXI&OacuteN DE SERVICIOS P&UacuteBLICO DOMICILIARIO-A PETICION DE LA SRA HERCILIA CASTRO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
AUTO AVOCA TUTELA 2023-121- VICTOR ALIRIO OSORIO CASTA&NtildeO -CONSTRUSERVICIOS BYH LTDA- JUZGADO 13 PENAL MUNICIPAL CONOCIMIENTO  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RESPUESTA SOLICITUD DE INFORMACION- RADICADO NO. 2023-037425 DEL 16-05-2023-SECRETRIA DE GOBIERNO  ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
 AUTO AVOCA TUTELA: 2023-00120-RAD 73001-40-04-013-2023-00120-00  - LINA CAROLINA CELIS ZABALA- JUZGADO TRECE PENAL MUNICIPAL CONOCIMIENTO - TOLIMA - IBAGU&Eacute ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DERECHO DE PETICI&OacuteN: SOLICITUD EXPEDICI&OacuteN CERTIFICADOS PAZ Y SALVO CESANT&IacuteAS DEFINITIVAS-SRA MARIA INES MIRQUEZ NU&NtildeEZ ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
DERECHO DE PETICI&OacuteN: SOLICITUD EXPEDICI&OacuteN CERTIFICADOS PAZ Y SALVO CESANT&IacuteAS DEFINITIVAS-YASMINE SALINAS GARCIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
SANITAS EPS - QUEJA EX&AacuteMENES AUDIOLOG&IacuteA (NUNCA CONTESTAN) (PACIENTE ALTO COSTO) - ANDR&EacuteS FELIPE LOSADA VARGAS  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DERECHO DE PETICI&OacuteN: SOLICITUD EXPEDICI&OacuteN CERTIFICADOS PAZ Y SALVO CESANT&IacuteAS DEFINITIVAS-LUZ AMPARO GUERRERO GUARNIZO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DERECHO DE PETICI&OacuteN: SOLICITUD EXPEDICI&OacuteN CERTIFICADOS PAZ Y SALVO CESANT&IacuteAS DEFINITIVAS-MARIA LUCILLA RODRIGUEZ VEGA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
REMISION POR COMPETENCIA OFICIO 1982-E-2023-226063- JUAN ALBERTO PRIETO BERNAL - PROCURADURIA PROVINCIAL ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
REMISION POR COMPETENCIA E-2023-229530-MARIA ALEXANDRA GOMEZ MARTINEZ- QUEJA POR MAL CONDUCTA GERENTE IBAL. PROCURADURIA PROVINCIAL DE INSTRUCCION DE IBAGUE  ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
REMISION POR COMPETENCIA E-2023-257119-LINA MARIA LAGUNA BERMEO -INFORMACION TRAMITE - PROCURADURIA PROVINCIAL ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
NOTIFICACI&OacuteN FALLO TUTELA 2023-00105-RADICACI&OacuteN: 73001-40-04-013-2023-00105-00-JUZGADO 13 PENAL MUNICIPAL CONOCIMIENTO - TOLIMA - IBAGU&Eacute ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
REMISION POR COMPETENCIA E-2023-260121 JOHAN ANDRES CORTES MOLANO -QUEJA COHNTRA AGENTE DE TRANSITO- PROCURADURIA PROVINCIAL DE INSTRUCCION DE IBAGUE  ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
E-2023-264059-E-2023-261321-JUAHN PABLO MANJARRES VARON - SOLICITUD - PROCURADURIA PROVINCIAL DE INSTRUCCION DE IBAGUE  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
REMISION POR COMPETENCIA - E-2023-282761- JUAN CAMILO MENESES - TRASLADO PETICION- PROCURADURIA PROVINCIAL DE INSTRUCCION DE IBAGUE ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
REMISION INFORME DE VISITA TECNICA REALIZADA AL BARRIO CARMENZA ROCHA-SECRETARIA DE AMBIENTE Y GESTION DEL RIESGO DIRECCION DE  GESTION DEL RIESGO Y ATENCION DE DESASTRES ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
CUENTA DE COBRO CONTRATO ACEPTACION DE OFERTA NRO PMI-SMC-006-2023- JULIO CESAR BELTRAN GARZON- TODO TINTAS Y SUMINISTROS.  ;;;;
BORRADOR PROPUESTA DE PLAN DE ACCI&OacuteN- CONSEJO DE PAZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INV. MESA TEC. PROYECTO DE VIDA Y EMPRENDIMIENTO SRPA-SECRETARIA DE INCLUSION POBLACIONAL DIRECCION INFANCIA Y JUVENYUD ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
ULTIMAR DETALLLES ELECCIONES JUECES DE PAZ 2023- DIA 26 DE MAYODEL 2023- HORA 10:00AM LUGAR DESPACHO DE LA SECRETAR&IacuteA DE GOBIERNO OFICINA 302 ALCALD&IacuteA DE IBAGU&Eacute- SECRETARIA DE GOBIERNO DESPACHO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INVITACI&OacuteN TRASMISION DE MANDO POLICIA METROPOLITANA DE IBAGUE -INSPECTOR GENERAL DE LA POLIC&IacuteA NACIONAL EL CUAL SE LLEVAR&Aacute A CABO EL D&IacuteA LUNES 29 DE MAYO DE 2023. LUGAR: PARQUE MURILLO  TORO HORA: 09:00 TRAJE: FORMAL S R C TEL 3213946787 IBAGUE  MAYO 2023 ;;COMUNICACIONES;COMUNICACION EXTERNA;
CERTIFICADO DE COMUNICACI&OacuteN ELECTR&OacuteNICA -EMAIL CERTIFICADO IDENTIFICADOR DEL CERTIFICADO: E95258046-S-EL SERVICIO DE ENVIOS DE COLOMBIA 472EL SERVICIO DE ENVIOS DE COLOMBIA 47 ;;;;
TRASLADO RADICADO RE2301675 DEL 16 DE MAYO DE 2023-SOLICITA SE EFECTUE UNA VISITA TECNICA A LA CONSTRUCCION ADELANTADA SOBRE EL PREDIO NO.350-269796-CURADURIA URBANA 2 IBAGUE ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;
RESPUESTA SOLICITUD SEGUIMIENTO EJECUCI&OacuteN ACUERDOS MUNICIPALES-SECRETARIA DE DESARROLLO ECONOMICO DESPACHO ;;COMUNICACIONES;COMUNICACIONES INTERNAS;
REMISI&OacuteN POR COMPETENCIA-PROCURADURIA GENERAL DE LA NACION QUEJA /DENUNCIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD PRACTICA CIRUGIA DERIVACION VENTRICULO PERITONEAL - JAVIER BARRERO MONTIEL-A PETICION SANDRA LILIANA BARRERO ALVAREZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
VICTIMA DEL CONFLICTO ARMADO- INDEMNIZACION ADMINISTRATIVA-PROCEDIMIENTO ORDEN DE PAGO DE LA INDEMNIZACI&OacuteN ADMINISTRATIVA-12127331-RADICADO:  2585506-DE LA SRA LEOPOLDINA MONTILLA P&EacuteREZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RESPUESTA DERECHO DE PETICI&OacuteN CON RADICADO NO 20230509P568 - 1202324512047-FINDETER ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
ACCION DE TUTELA DE GABRIEL VILLAMIZAR ACEVEDO CONTRA SANITAS EPS Y VINCULADOS SECRETARIA DE DEPARTAMENTAL DE SALUD DEL TOLIMA SECRETARIA DE SALUD MUNICIPAL DE IBAGUE Y INSTITUTO OFTALMOLOGICO DEL TOLIMA S.A.S SUPERINTEDENCIA NACIONAL DE SALUD Y LA PERSONERIA MUNICIPAL DE IBAGUE-RADICADO 73001-40-03-002-2023-00263-00  ;;TUTELAS;TUTELAS;
SOLICITUD DE COLABORACI&OacuteN PARA UBICAR A FAMILIARES DE LA PACIENTES HABITANTES DE CALLE QUE NO CUENTAN CON RED FAMILIAR-CLINICA TOLIMA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COMUNICACI&OacuteN DE INICIO DE TRAMITE DE APROVECHAMIENTOS FORESTALES DE ARBOLES AISLADOS Y SOLICITUD DE PUBLICACI&OacuteN DE AVISO EN CARTELERA- CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
COMUNICACION OFICIO RAD. NRO. 2017-00163-JUZGADO 05 ADMINISTRATIVO - TOLIMA - IBAGUE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
DERECHO DE PETICION ART 23 CPC SOLICITUD DE PERMISO DE TRABAJO-A PETICION DE LA SRA ANGIE PAOLA ARBOLEDA ALVAREZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
LINK Y ACTA PARA LA REUNI&OacuteN DE LA MESA DEPARTAMENTAL COVID-19 TOLIMA - LUNES 29 DE MAYO DE 2023 - HORA:2:30 P.M.- RAMA JUDICIAL DEL PODER P&UacuteBLICO CONSEJO SECCIONAL DE LA JUDICATURA DEL TOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN INTERNA;
LLEVAR A CABO PUESTO DE MANDO UNIFICADO CON EL FIN DE REALIZAR SEGUIMIENTO A LA JORNADA DE ELECCI&OacuteN DE JUECES DE PAZ Y JUECES DE PAZ DE RECONSIDERACI&OacuteN EN EL MUNICIPIO DE IBAGU&Eacute. SABADO 27 DE MAYO DEL 2023- HORA: 7:00AM LUGAR: INSTALACION DE PMU EN EL DESPACHO DE LA SECRETARIA DE GOBIERNO.  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SEGUIMIENTO A PETCION EN CONTRA DE KA INSTITUCION JOSE CELESTINO MUTIS SEDE CRISTOBAL COLON  N° IBA2023ER007428 DEL 24 DE ABRIL DE 2023 ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
SOLICITUD DE VI&AacuteTICOS PARA CITA CARDIOLOGIA PEDIATRIACA EL D&IacuteA 8 DE JUNIO DEL 2023 - MARIA JOSE BORRERO CARDONA- A PETICION YUDY MILDRED CARDONA TRIANA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
LICENCIA DE MATERNIDAD DE LA SRA ANG&EacuteLICA MAR&IacuteA CABRERA HERRERA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
PROBLEMTICAS DE LA INSTITUCION EDUCATIVA MIGUEL DE CERVANTES SAAVEDRA- A PETICION SARA ANGARITA PERSONERA ESTUDIANTIL ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RADICADO 20231669- SEGUIMIENTO EJECUCION ACUERDOS MUNICIPALES- SE ANEXA CD EN FISICO- INFIBAGUE ;;COMUNICACIONES;COMUNICACIONES INTERNAS;
ACCION DE TUTELA EN CUMPLIMIENTO DE LA SENTENCIA T-008/18 PARA EL RECONOCIMIENTO Y PAGO DE INCAPACIDADES POR PARTE DE LA AFP COLPENSIONES GENERADAS EN EL A&NtildeO 2022- A PETICION JHONATAN ARTURO ERASSO ORDO&NtildeEZ ;;TUTELAS;TUTELAS;
OFICIO SOLICITUD ACOMPA&NtildeAMIENTO PERSONER&IacuteA MUNICIPAL EN EXPEDIENTE NO. 064-2023 VIF-DE LA SRA MARIA BERENICE RUEDA RIVERA- SECRETARIA DE GOBIERNO Y SEGURIDAD CUIDADANA GRUPO DE JUSTICIA Y ORDEN PUBLICO COMISARIA TERCERA DE FAMILA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
OFICIO SOLICITUD ACOMPA&NtildeAMIENTO PERSONER&IacuteA MUNICIPAL EN EXPEDIENTE NO. 154-2023 VIF- YERLY JULIET PAYO CAPERA- DIA MARTES 30 DE MAYO DEL 2023-HORA:11:00AM -LUGAR- COMISARIA 3RA DE FAMILIA  TERCER BLOQUE PISO 1 SEDE INDUSTRIAL EL PAPAYO. - SECRETARIADE GOBIERNO Y SEGURIDAD CIUDADANA COMISARIA DE FAMILIA  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
EXPEDIENTE DE RADICACION 1841-2022 - SOLICITUD DE COPIAS DE EXPEDIENTE- A PETICION GERMAN VARON DEVIA  ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
SOCIALIZACI&OacuteN DE LA POL&IacuteTICA DE GOBIERNO DIGITAL: ACTUALIZACI&OacuteN Y APLICACI&OacuteN-ESTA JORNADA SE REALIZAR&Aacute DE MANERA VIRTUAL V&IacuteA TEAMS EL PR&OacuteXIMO 8 DE JUNIO DE 2023 DE 02:30 P.M. A 04:00 PM. ;;COMUNICACIONES;COMUNICACION EXTERNA;
COMUNICACI&OacuteN DE RESOLUCI&OacuteN 1627 DEL 28/4/22 EXP: 13407- RADICADO DE SALIDA ELECTR&OacuteNICO  N? 8847- VERTIMIENTOS DE AGUAS RESIDUALES CONDOMINIO BOSQUES DE CALAMBEO-CARLOS MARIO LONDO&NtildeO RINCON- CORTOLIMA  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
REUNION PRIVADA POLITICO ADMINISTRATIVO-METIB ;;COMUNICACIONES;COMUNICACION EXTERNA;
 INFORME ESTADO DE LUMINARIAS Y VISITA T&EacuteCNICA REALIZADA POR EL GRUPO DE ALUMBRADO P&UacuteBLICO AP. 73001-33-33-007-2022-00266-00-JUEZ SEPTIMO ADMINISTRATIVO  ;;ACCIONES POPULARES;DILIGENCIAS-SEGUIMIENTOS;
SOLICITUD E INTERVENCION A LA SECRETARIA DE TRANSITO PARA NOTIFICAR IMPUESTO DE UN VEHICULO WTB -776 EL CUAL NO SOY PROPIETARIO - A PETICION DE HECTOR ALFONSO RINCON GIRALDO ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
ACTIVACION RUTA DE ATENCION AL ESTUDIANTE JULIAN ANDRES AMAYA BARRERO- INSTITUCION EDUCATIVA AUGUSTO E MEDINA-COMFENALCO  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
NOTIFICACI&OacuteN ESTADO No. 029 DEL 26 DE MAYO DE 2023-JUZGADO SEGUNDO ADMINISTRATIVO ORAL DEL CIRCUITO DE IBAGUE ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
CITACION AUDIENCIA PUBLICA -LE SOLICITO LA PARTICIPACION DE LA DOCTORA MARIA MAGDALENA RONDON PEREZ- DIA 02 DE JUNIO DEL 2023-HORA: =900AM. LUGAR: DESPACHO DE LA INSPECCION TERCERA UBICADA EN LA AVENIDA AMBALA CON CALLE 31 - PARQUE BARRIO VIVEROS ESQUINA- A PETICION SECRETARIA DE GOBIERNO GRUPO DE JUSTICIA Y ORDEN PUBLICO INSPECCION TERCERA URBANA  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD Y SEGUIMIENTO  A DERECHO DE PETICION SE INVESTIGUE LA CONDUCTA DE LOS FUNCIONARIOS RESPONSABLES DE ATENDER MI PETICI&OacuteN Y QUIENES DE MANERA ARBITRARIA E INJUSTIFICADA SE HAN NEGADO A CONTESTAR MI DERECHO DE PETICI&OacuteN-A PETICION DE EL SE&NtildeOR  JAVIER RAM&IacuteREZ FL&OacuteREZ  ;;SEGUIMIENTOS;SEGUIMIENTO A LA GESTION PUBLICA;
SE REQUIERE REALIZAR PROCESO DE PLENA IDENTIDAD DE CARACTERN URGENTE A PACIENTE NN QUE SE ENCUENTRA EN LA CL&IacuteNICA TOLIMA-IBAGU&Eacute- CLINICA TOLIMA  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
MINISTERIO PUBLICO ORDEN DE ARCHIVO NUC 730016000450201904652-FISCALIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COMUNICA ARCHIVO CASO 2023-13823 Y COMPULSA COPIAS A COMVEZCOL- CASO MALTRATO ANIMAL- DENUNCIANTE SANDRA MILENA AVILEZ GOMEZ- FISCALIA  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
ASUNTO- ENCUENTRO INFORMATIVO DE RESULTADOS DE ESTUDIO DE IMPACTO AMBIENTAL - EA DEL PROYECTO LINEA DE TRANSMISION ESCOBAL- ARREBOLES 115 KV ENTRE LOS MUNICIPIOS DE IBAGUE Y ALVARADO DPTO DEL TOLIMA- A PETICION CELSIA  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
ENCUENTRO INFORMATIVO DE RESULTADOS DE ESTUDIOS DE PROYECTO IMPACTO AMBIENTAL LINEA DE CONEXION EN 115KV A LA SUBESTACION ESCOBAL- VEREDA BUENOS AIRES Y SECTOR PICALE&NtildeA  DEL SPTO DE IBAGUE - CELSIA  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
DERECHO DE PETICI&OacuteN PAGO LIC MATERNA LEHILITH GABRIELA GUZMAN-KESAVI S.A.S.  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD INFORMACION VEEDURIA-A PETICION JORGE ENRIQUE SALCEDO MAYORGA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
MUY URGENTE SIM 30492707 - SE REQUIERE ACTIVAR RUTAS DE BUSQUEDA DE JOVEN ALYSON TATIANA GOMEZ PATI&NtildeO IDENTIFICADA CON T.I 1.110.492.873 -  (PAREJA ENCONTRADO FALLECIDO) - INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD E INTERVENCION DE FISCALIA LOCALES PROCESOS- A PETICION DE ESPERANZA PEDREROS  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE RECURSO DE REPOSICION A LA RESOLUCION NRO 000011 POR MEDIO DEL CUAL SE ORDEN DECLARAR DESIERTO EL PROCESO REGIMEN ESPECIAL CONTRATO CON ESAL - AL RE- CC- 1216-2023- A PETICION RED DE MUJERES DE IBAGUE Y EL TOLIMA  ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
SOLICITUD DE COPIA DEL DOCUMENTO ACTA DE CONCILIACION 051 CON RADICADO NRO 2012-350-6-5001- A PETICION DE JULIO CESAR VERGEL CASTILLO  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE APOYO A PROYECTOS DE OBRAS A REALIZARSE EN EL BARRIO LOS ANGELES COMUNA 6 - A PETICION JUNTA DE ACCION COMUNAL BARRIO LOS ANGELES  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
PRESENTO ACCION DE TUTELA ARTICULO 86 CN POR LA VULNERACION DEL DERECHO DE PETICION Y OTROS - ACCIONANTE - JUAN ALBERTO YEPES CASTA&NtildeEDA - CC # 71 392 704 CON TD # 5932 - NUI # 128694 PABELLON # 31 DEL EPC COIBA PICALE&NtildeA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
ACCI&OacuteN DE TUTELA - RADICACI&OacuteN: 73001-40-06-013-2023-00124-00- INSTAURADA POR JUAN RICARDO OLAYA CADENA -JUZGADO 13 PENAL MUNICIPAL CONOCIMIENTO - TOLIMA - IBAGU&Eacute ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INFORMACION EN EL MARCO DE LA COLABORACION ARMONICA - GOBERNACION DEL TOLIMA SECRETARIA DEL INTERIOR DE DESPACHO.  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
